product_id,title,cogs
9796300374311,Discovery Set Kit Test,
9802714022183,Alpha Dusk,
9802714808615,OCEAN CODE,
9802716021031,Forest Rebel,
9802716545319,Noir Charge,
9802717430055,Urban Legend,
9802718314791,Jet Fuel,
9802718380327,ULTRA LEGEND,
9803684938023,Perfume 3,
9804825755943,GIFT SET OF THREE,
9811743965479,GET A TESTER PACK,
9812381434151,Prebook Product,
9851247427879,Personalized Perfume Trial,
9863072350503,Old Money - 100ml,
9863092633895,Selfmade - 100ml,
9863094173991,My Wingman  - 100ml,
9863094862119,By the Beach - 100ml,
9863095681319,Peaches - 100ml,
9863096172839,White Jazz - 100ml,
9863096860967,Hot AF - 100ml,
9863097680167,Cookie Crush - 100ml,
9863098564903,Love Drunk - 100ml,
9863099482407,Lights Off - 100ml,
9863100236071,Golden Oud - 100ml,
9863103250727,Vetiver Oud - 100ml,
9863103840551,Oud Honey - 100ml,
9863104725287,Ivory Oud - 100ml,
9870267023655,Pack For women - 7ml X 6 Parfums,
9870268498215,Pack For Men - 7ml X 6 Parfums,
9870275805479,Oud Collection Unisex - 7ml X 6 Parfum,
9888258261287,Test Product,
9894522749223,Build Your Own Box,
9901776437543,Buy 5 for ₹2500,
9919089475879,Bla Bli Blu Ultimate Experience Set- 14 Unique Fragrances,
9946307690791,Perfume Gift Set For Men - 3 x 30ml,
9946330726695,Perfume Gift Set For Women - 3 x 30ml,
9990405816615,Oud Unisex Perfume Gift Set For Men & Women  - 3 x 30ml,
9990757613863,Old Money - 100ml,
9990757679399,My Wingman  - 100ml,
9990757712167,By the Beach - 100ml,
9990757843239,Hot AF - 100ml,
9990757876007,Cookie Crush- 100ml,
9996596216103,Old Money - 30ml,
9996596248871,My Wingman  - 30ml,
9996596281639,Hot AF - 30ml,
9996596314407,Love Drunk - 30ml,
9996596347175,Oud Honey - 30ml,
9996616466727,Build Your Own Small Box,
10010104463655,Old Money - 30ml,
10010104496423,My Wingman  - 30ml,
10010104529191,Hot AF - 30ml,
10010104561959,Love Drunk - 30ml,
10010104594727,Oud Honey - 30ml,
10027984486695,Makeup Melting Skin Care Wipes 10 Sheets Pack,
10028517490983,Makeup Melting Skin Care Wipes 10 Sheets Pack,
10114912190759,Habibi - 100ml,
10133189361959,Lil' Black Dress - 100ml,
10137498845479,Cookie Crush Body Wash | 250ML,
10137500352807,Hustler Body Wash | 250ML,
10137500811559,Love Drunk Body Wash | 250ML,
10137501597991,Old Money Body Wash | 250ML,
10137503334695,By the Beach Body Wash | 250ML,
10137506087207,Self Made Body Wash | 250ML,
10138259685671,Build Your Body Wash Box,
10138267025703,Love Drunk - 75ML Perfume + 8ML Pure Oil,
10138267156775,Lights Off - 75ML Perfume + 8ml Pure Oil,
10140407398695,Bathing Experience Set,
10142932074791,Loofah,
10149420433703,Hustler Body Wash,
10149426856231,Love drunk,
10149427773735,Self made body wash,
10149439275303,Love Drunk Body Wash | 250ML,
10149439373607,Self Made Body Wash - 250ML,
10149487837479,Lights Off - 30ml,
10150638551335,Love Drunk   Body Wash,
10150666305831,Self Made Body Wash,
10151322648871,My Wingman- 75ML Perfume + 8ML Pure Oil,
10151322747175,By the Beach - 75ML Perfume + 8ML Pure Oil,
10155302879527,My Wingman- 75Ml+8ml,
10155309596967,Hot AF - 75ML Perfume + 8ML Pure Oil,
10169964200231,Lights Off - 30ml,
10176193331495,Shower Scent Combo,
10187049763111,"Dear Mom, Love!",
10187051991335,She Deserves it All.,
10206077059367,Billionaire Vibes,
10206946099495,Lil' Black Dress - 100ml,
10206953570599,She Deserves it All.,
10206959010087,Habibi - 100ml,
10206961271079,Selfmade - 100ml,
